WKT,Business Name,Industry Category,Corridor,Latitude,Longitude,Google Maps Link
"POINT (77.0647304 11.0474776)",Gradient Tech Factory,Auto Components,Avinashi Road – Arasur Industrial Corridor,11.0474776,77.0647304,https://www.google.com/maps/place/Gradient+Tech+Factory/data=!4m7!3m6!1s0x3ba8570065f330f1:0xf5ca47568def76c4!8m2!3d11.0474776!4d77.0647304!16s%2Fg%2F11lzzyjc1c!19sChIJ8TDzZQBXqDsRxHbvjVZHyvU?authuser=0&hl=en&rclk=1
"POINT (77.0642391 11.0542703)",tools,Auto Components,Avinashi Road – Arasur Industrial Corridor,11.0542703,77.0642391,https://www.google.com/maps/place/tools/data=!4m7!3m6!1s0x3ba8561ef8207b73:0x40695b10de481e88!8m2!3d11.0542703!4d77.0642391!16s%2Fg%2F11jzxdql_s!19sChIJc3sg-B5WqDsRiB5I3hBbaUA?authuser=0&hl=en&rclk=1
"POINT (77.0756222 11.0822325)",CSV Automation,Auto Components,Avinashi Road – Arasur Industrial Corridor,11.0822325,77.0756222,https://www.google.com/maps/place/CSV+Automation/data=!4m7!3m6!1s0x3ba857bf51a8f945:0x25b8b2fb16de617b!8m2!3d11.0822325!4d77.0756222!16s%2Fg%2F11csrbf0xd!19sChIJRfmoUb9XqDsRe2HeFvuyuCU?authuser=0&hl=en&rclk=1
"POINT (77.0500521 11.0504782)",Rexon Automotive Industries,Auto Components,Avinashi Road – Arasur Industrial Corridor,11.0504782,77.0500521,https://www.google.com/maps/place/Rexon+Automotive+Industries/data=!4m7!3m6!1s0x3ba8585514e2974d:0xc4591064dff96025!8m2!3d11.0504782!4d77.0500521!16s%2Fg%2F11f010xtwj!19sChIJTZfiFFVYqDsRJWD532QQWcQ?authuser=0&hl=en&rclk=1
"POINT (77.1185776 11.0770657)",Konnen Automotive,Auto Components,Avinashi Road – Arasur Industrial Corridor,11.0770657,77.1185776,https://www.google.com/maps/place/Konnen+Automotive/data=!4m7!3m6!1s0x3ba8ffa9984164c9:0xd5b1fc8d893fb2ad!8m2!3d11.0770657!4d77.1185776!16s%2Fg%2F11kr93xpvp!19sChIJyWRBmKn_qDsRrbI_iY38sdU?authuser=0&hl=en&rclk=1
"POINT (77.1090478 11.0687964)",Nethra Two Wheeler Spares,Auto Components,Avinashi Road – Arasur Industrial Corridor,11.0687964,77.1090478,https://www.google.com/maps/place/Nethra+Two+Wheeler+Spares/data=!4m7!3m6!1s0x3ba8ff0034518f5b:0x22681bb0ed72cdac!8m2!3d11.0687964!4d77.1090478!16s%2Fg%2F11x972l8wg!19sChIJW49RNAD_qDsRrM1y7bAbaCI?authuser=0&hl=en&rclk=1
"POINT (77.1429464 11.0998315)",MN Auto Technologies Pvt Ltd - Plant 1,Auto Components,Avinashi Road – Arasur Industrial Corridor,11.0998315,77.1429464,https://www.google.com/maps/place/MN+Auto+Technologies+Pvt+Ltd+-+Plant+1/data=!4m7!3m6!1s0x3ba8ff00310cef51:0x906b01ef917873c8!8m2!3d11.0998315!4d77.1429464!16s%2Fg%2F11x91131nq!19sChIJUe8MMQD_qDsRyHN4ke8Ba5A?authuser=0&hl=en&rclk=1
"POINT (77.103765 11.0698005)",Inventor Automation,Auto Components,Avinashi Road – Arasur Industrial Corridor,11.0698005,77.103765,https://www.google.com/maps/place/Inventor+Automation/data=!4m7!3m6!1s0x3ba8582dc43aa3f7:0xfb338fcbcec0135a!8m2!3d11.0698005!4d77.103765!16s%2Fg%2F11b5vs08yq!19sChIJ96M6xC1YqDsRWhPAzsuPM_s?authuser=0&hl=en&rclk=1
"POINT (77.0775213 11.039298)",Pavish Auto Spares,Auto Components,Avinashi Road – Arasur Industrial Corridor,11.039298,77.0775213,https://www.google.com/maps/place/Pavish+Auto+Spares/data=!4m7!3m6!1s0x3ba857d4b51b55dd:0x3c6e7412b1da9ee9!8m2!3d11.039298!4d77.0775213!16s%2Fg%2F11st8cn09m!19sChIJ3VUbtdRXqDsR6Z7asRJ0bjw?authuser=0&hl=en&rclk=1
"POINT (77.0241034 11.0267723)",V Ventures,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0267723,77.0241034,https://www.google.com/maps/place/V+Ventures/data=!4m7!3m6!1s0x3ba8570030a99501:0x11260d17aa8b0a6b!8m2!3d11.0267723!4d77.0241034!16s%2Fg%2F11yq8thfly!19sChIJAZWpMABXqDsRawqLqhcNJhE?authuser=0&hl=en&rclk=1
"POINT (77.0839508 11.0575511)",Saravana Maligai Store,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0575511,77.0839508,https://www.google.com/maps/place/Saravana+Maligai+Store/data=!4m7!3m6!1s0x3ba856194bad9cc9:0x9f23219d81bf3205!8m2!3d11.0575511!4d77.0839508!16s%2Fg%2F11g6rd0_mr!19sChIJyZytSxlWqDsRBTK_gZ0hI58?authuser=0&hl=en&rclk=1
"POINT (77.0227534 11.0265512)",AV Trading Enterprises,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0265512,77.0227534,https://www.google.com/maps/place/AV+Trading+Enterprises/data=!4m7!3m6!1s0x3ba8578d39067731:0x25566c89d73dbc5b!8m2!3d11.0265512!4d77.0227534!16s%2Fg%2F11t0nbfmk7!19sChIJMXcGOY1XqDsRW7w914lsViU?authuser=0&hl=en&rclk=1
"POINT (77.0781924 11.0585247)",Thangam Pazhamudir Solai,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0585247,77.0781924,https://www.google.com/maps/place/Thangam+Pazhamudir+Solai/data=!4m7!3m6!1s0x3ba85621ec0f830f:0xd0bf680bc11a21a4!8m2!3d11.0585247!4d77.0781924!16s%2Fg%2F11gd_wwh85!19sChIJD4MP7CFWqDsRpCEawQtov9A?authuser=0&hl=en&rclk=1
"POINT (77.0907304 11.0619457)",Chai N' Gupshup Express,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0619457,77.0907304,https://www.google.com/maps/place/Chai+N%27+Gupshup+Express/data=!4m7!3m6!1s0x3ba857489d412643:0x4dd27c602628d4bb!8m2!3d11.0619457!4d77.0907304!16s%2Fg%2F11y57klbw8!19sChIJQyZBnUhXqDsRu9QoJmB80k0?authuser=0&hl=en&rclk=1
"POINT (77.0201103 11.0266946)",Cold & Café,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0266946,77.0201103,https://www.google.com/maps/place/Cold+%26+Caf%C3%A9/data=!4m7!3m6!1s0x3ba85700350b8b09:0xaf6d988941fe89e4!8m2!3d11.0266946!4d77.0201103!16s%2Fg%2F11yrn_x9hd!19sChIJCYsLNQBXqDsR5In-QYmYba8?authuser=0&hl=en&rclk=1
"POINT (77.0350215 11.0435323)",CHIMP Goli Soda,Cold Storage,Avinashi Road – Arasur Industrial Corridor,11.0435323,77.0350215,https://www.google.com/maps/place/CHIMP+Goli+Soda/data=!4m7!3m6!1s0x3ba8578d07ed5141:0xa38b39ee6c586754!8m2!3d11.0435323!4d77.0350215!16s%2Fg%2F11nxs4ggrs!19sChIJQVHtB41XqDsRVGdYbO45i6M?authuser=0&hl=en&rclk=1
