WKT,Business Name,Business Type,Corridor,Latitude,Longitude,Google Maps Link,Industrial Sector
"POINT (77.2699326 11.0092963)",TEAM YOUNG INDIANS AUTO INDUSTRIES,Auto parts store,Sulur – Palladam Industrial Corridor,11.0092963,77.2699326,https://www.google.com/maps/place/TEAM+YOUNG+INDIANS+AUTO+INDUSTRIES/data=!4m7!3m6!1s0x3ba9a946a7a10b73:0x90f4af883ac2a1da!8m2!3d11.0092963!4d77.2699326!16s%2Fg%2F11g231g291!19sChIJcwuhp0apqTsR2qHCOoiv9JA?authuser=0&hl=en&rclk=1,Auto / Auto Components
"POINT (77.1865598 11.01553)",Automotive Enhancement,Auto parts store,Sulur – Palladam Industrial Corridor,11.01553,77.1865598,https://www.google.com/maps/place/Automotive+Enhancement/data=!4m7!3m6!1s0x3ba854d740efda1f:0x468760bd816ce1d!8m2!3d11.01553!4d77.1865598!16s%2Fg%2F11ckw28lb9!19sChIJH9rvQNdUqDsRHc4W2At2aAQ?authuser=0&hl=en&rclk=1,Auto / Auto Components
"POINT (77.1877375 11.0153769)",Sri Lakshmi tyres & retreading company,Tire shop,Sulur – Palladam Industrial Corridor,11.0153769,77.1877375,https://www.google.com/maps/place/Sri+Lakshmi+tyres+%26+retreading+company/data=!4m7!3m6!1s0x3ba85544c04f7ed5:0xf1120afdd032469a!8m2!3d11.0153769!4d77.1877375!16s%2Fg%2F11w7cdx_7t!19sChIJ1X5PwERVqDsRmkYy0P0KEvE?authuser=0&hl=en&rclk=1,Auto / Auto Components
"POINT (77.1446704 10.9910572)",Axto Accessories - OLA EV Accessories Store in Coimbatore,Manufacturer,Sulur – Palladam Industrial Corridor,10.9910572,77.1446704,https://www.google.com/maps/place/Axto+Accessories+-+OLA+EV+Accessories+Store+in+Coimbatore/data=!4m7!3m6!1s0x3ba855000159c0bf:0xac30c0eb3e50bccf!8m2!3d10.9910572!4d77.1446704!16s%2Fg%2F11x7crbgtc!19sChIJv8BZAQBVqDsRz7xQPuvAMKw?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.0824794 10.9980116)",NEXTLY CAR CARE EQUIPMENTS AND CHEMICALS,Manufacturer,Sulur – Palladam Industrial Corridor,10.9980116,77.0824794,https://www.google.com/maps/place/NEXTLY+CAR+CARE+EQUIPMENTS+AND+CHEMICALS/data=!4m7!3m6!1s0x3ba8578ab62dcdd5:0xa6649199c72e66bd!8m2!3d10.9980116!4d77.0824794!16s%2Fg%2F11rz2cp94l!19sChIJ1c0ttopXqDsRvWYux5mRZKY?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.2240808 11.0024369)",Mohan breeding farm,Poultry farm,Sulur – Palladam Industrial Corridor,11.0024369,77.2240808,https://www.google.com/maps/place/Mohan+breeding+farm/data=!4m7!3m6!1s0x3ba9ab6ca5cc5feb:0xf974a726134b9473!8m2!3d11.0024369!4d77.2240808!16s%2Fg%2F11cs6gt17g!19sChIJ61_MpWyrqTsRc5RLEyandPk?authuser=0&hl=en&rclk=1,Food Processing / Agro
"POINT (77.2925372 10.9953935)",AGM Auto consulting,Motorcycle shop,Sulur – Palladam Industrial Corridor,10.9953935,77.2925372,https://www.google.com/maps/place/AGM+Auto+consulting/data=!4m7!3m6!1s0x3ba9a908589501c7:0xc390a6058883b108!8m2!3d10.9953935!4d77.2925372!16s%2Fg%2F11kfw81nnb!19sChIJxwGVWAipqTsRCLGDiAWmkMM?authuser=0&hl=en&rclk=1,Auto / Auto Components
"POINT (77.1444548 11.0311099)",Propel Industries Private Limited,Manufacturer,Sulur – Palladam Industrial Corridor,11.0311099,77.1444548,https://www.google.com/maps/place/Propel+Industries+Private+Limited/data=!4m7!3m6!1s0x3ba8567978625d93:0x1e1cd09805fb281a!8m2!3d11.0311099!4d77.1444548!16s%2Fg%2F11b60rrs4f!19sChIJk11ieHlWqDsRGij7BZjQHB4?authuser=0&hl=en&rclk=1,Industrial Manufacturing
"POINT (77.2793225 11.0012905)",THIRUKUMARAN AUTO CONSULTING,Wholesaler,Sulur – Palladam Industrial Corridor,11.0012905,77.2793225,https://www.google.com/maps/place/THIRUKUMARAN+AUTO+CONSULTING/data=!4m7!3m6!1s0x3ba9ab0051e1f4f3:0xb3aafc8248af4d60!8m2!3d11.0012905!4d77.2793225!16s%2Fg%2F11wx8l97vd!19sChIJ8_ThUQCrqTsRYE2vSIL8qrM?authuser=0&hl=en&rclk=1,Retail / Non-industrial
"POINT (77.2787796 10.9808867)",SRI VANITHA AUTO CONSULTING,Consultant,Sulur – Palladam Industrial Corridor,10.9808867,77.2787796,https://www.google.com/maps/place/SRI+VANITHA+AUTO+CONSULTING/data=!4m7!3m6!1s0x3ba9ad00213b509b:0x923b947e028324cf!8m2!3d10.9808867!4d77.2787796!16s%2Fg%2F11y2mct2rf!19sChIJm1A7IQCtqTsRzySDAn6UO5I?authuser=0&hl=en&rclk=1,Retail / Non-industrial
