area,survey_no,lat,lon,status,zoning
Arasur,41,11.101686,77.119873,empty,Industrial
Arasur,47,11.09895,77.127634,empty,Industrial
Arasur,61,11.09008,77.121756,empty,Industrial
Arasur,97,11.087062,77.125406,empty,Industrial
Arasur,100,11.087185,77.128113,empty,Industrial
Arasur,101,11.088266,77.129567,empty,Industrial
Arasur,109,11.09373,77.130419,empty,Industrial
Arasur,115,11.101599,77.131886,empty,Industrial
Arasur,130,11.095111,77.131866,empty,Industrial
Arasur,137,11.091612,77.138476,empty,Industrial
Arasur,138,11.093861,77.136773,empty,Industrial
Arasur,139,11.092203,77.137199,empty,Industrial
Arasur,141,11.093924,77.134296,empty,Industrial
Arasur,142,11.091557,77.133558,empty,Industrial
Arasur,143,11.092738,77.131652,empty,Industrial
Arasur,188,11.082821,77.132872,empty,Industrial
Arasur,190,11.081045,77.133363,empty,Industrial
Arasur,250,11.074533,77.127399,empty,Industrial
Arasur,253,11.078424,77.128696,empty,Industrial
Arasur,254,11.079386,77.129468,empty,Industrial
Arasur,395,11.075069,77.113969,empty,Industrial
Arasur,404,11.079513,77.115763,empty,Industrial
Arasur,409,11.080756,77.115655,empty,Industrial
Arasur,410,11.081452,77.113844,empty,Industrial
Arasur,412,11.07847,77.110992,empty,Industrial
Arasur,413,11.079643,77.111337,empty,Industrial
Arasur,414,11.080995,77.111681,empty,Industrial
Arasur,415,11.082717,77.10905,empty,Industrial
Arasur,417,11.082791,77.11296,empty,Industrial
Arasur,418,11.084166,77.111803,empty,Industrial
Arasur,420,11.082494,77.114585,empty,Industrial
Arasur,422,11.082517,77.115604,empty,Industrial
Arasur,423,11.08273,77.116036,empty,Industrial
Arasur,424,11.083719,77.116387,empty,Industrial
Arasur,528,11.102479,77.114406,empty,Industrial
Arasur,530,11.104057,77.111669,empty,Industrial
Arasur,531,11.103752,77.110085,empty,Industrial
Arasur,532,11.105209,77.109516,empty,Industrial
Arasur,533,11.103263,77.110005,empty,Industrial
Arasur,535,11.100156,77.110183,empty,Industrial
Arasur,536,11.099848,77.109269,empty,Industrial
Arasur,539,11.100943,77.105024,empty,Industrial
Arasur,540,11.099902,77.104936,empty,Industrial
Arasur,542,11.101024,77.104134,empty,Industrial
Arasur,548,11.100604,77.097541,empty,Industrial
Arasur,549,11.101003,77.099137,empty,Industrial
Arasur,550,11.101124,77.099788,empty,Industrial
Arasur,561,11.104241,77.108399,empty,Industrial
Arasur,564,11.105827,77.103774,empty,Industrial
Arasur,565,11.107649,77.104015,empty,Industrial
Arasur,567,11.109129,77.108127,empty,Industrial
Arasur,568,11.107744,77.108179,empty,Industrial
Arasur,569,11.107585,77.109956,empty,Industrial
Arasur,570,11.107191,77.111443,empty,Industrial
Arasur,571,11.105825,77.109448,empty,Industrial
Arasur,572,11.107482,77.11265,empty,Industrial
Neelambur,23,11.088063,77.100108,empty,Industrial
Neelambur,24,11.086424,77.100073,empty,Industrial
Neelambur,28,11.085033,77.101216,empty,Industrial
Neelambur,126,11.069348,77.098332,empty,Industrial
Neelambur,182,11.081919,77.105239,empty,Industrial
Neelambur,486,11.067384,77.106921,empty,Industrial
Neelambur,489,11.064049,77.108124,empty,Industrial
Neelambur,501,11.061683,77.110595,empty,Industrial
Neelambur,505/B,11.064216,77.111144,empty,Industrial
Neelambur,564,11.059364,77.093094,empty,Industrial
Neelambur,762,11.058642,77.074412,empty,Industrial
Neelambur,815,11.07133,77.084905,empty,Industrial
Irugur,3,11.056868,77.070154,empty,Industrial/Proposed
Irugur,5/B,11.057907,77.065543,empty,Industrial/Proposed
Irugur,19,11.055904,77.068948,empty,Industrial/Proposed
Irugur,41,11.045433,77.06822,empty,Industrial/Proposed
Irugur,217,11.029485,77.066345,empty,Industrial/Proposed
Irugur,215,11.030129,77.067533,empty,Industrial/Proposed
Irugur,228,11.036087,77.066274,empty,Industrial/Proposed
Irugur,255,11.048418,77.062444,empty,Industrial/Proposed
Irugur,175,11.029923,77.070998,empty,Industrial/Proposed
Irugur,183,11.024212,77.072448,empty,Industrial/Proposed
Irugur,185,11.022441,77.073305,empty,Industrial/Proposed
Irugur,621,11.035001,77.095649,empty,Industrial/Proposed
Irugur,625,11.030134,77.098583,empty,Industrial/Proposed
