WKT,Name,Latitude,Longitude,Google Maps Link,Category
"POINT (77.2480589 11.0020916)",Perumpali Lake,11.0020916,77.2480589,https://www.google.com/maps/place/Perumpali+Lake/data=!4m7!3m6!1s0x3ba9ab98ed5432e7:0x430bc104024949d6!8m2!3d11.0020916!4d77.2480589!16s%2Fg%2F12vsc5pvx!19sChIJ5zJU7ZirqTsR1klJAgTBC0M?authuser=0&hl=en&rclk=1,Seasonal lake
"POINT (77.1190329 11.0294749)",Sulur Lake,11.0294749,77.1190329,https://www.google.com/maps/place/Sulur+Lake/data=!4m7!3m6!1s0x3ba855c8c8ef3c1d:0x1040b12e2cb367f4!8m2!3d11.0294749!4d77.1190329!16s%2Fg%2F1tf9lpsg!19sChIJHTzvyMhVqDsR9GezLC6xQBA?authuser=0&hl=en&rclk=1,Lake
"POINT (77.1466398 11.0300377)",Lake kangayampalayam,11.0300377,77.1466398,https://www.google.com/maps/place/Lake+kangayampalayam/data=!4m7!3m6!1s0x3ba8550018dafb65:0xfdd4d3bec894aeb8!8m2!3d11.0300377!4d77.1466398!16s%2Fg%2F11yh2kfwwx!19sChIJZfvaGABVqDsRuK6UyL7T1P0?authuser=0&hl=en&rclk=1,Swimming lake
"POINT (77.1288943 11.033343)",Sulur Lake fishing area,11.033343,77.1288943,https://www.google.com/maps/place/Sulur+Lake+fishing+area/data=!4m7!3m6!1s0x3ba855b9c9d6bee9:0xec2011382824886b!8m2!3d11.033343!4d77.1288943!16s%2Fg%2F1260sgjt1!19sChIJ6b7WyblVqDsRa4gkKDgRIOw?authuser=0&hl=en&rclk=1,Fishing area
"POINT (77.1643337 11.0321093)",Kalpa Lake,11.0321093,77.1643337,https://www.google.com/maps/place/Kalpa+Lake/data=!4m7!3m6!1s0x3ba855005d795853:0x5c9d18df31247c4e!8m2!3d11.0321093!4d77.1643337!16s%2Fg%2F11vwstbtyv!19sChIJU1h5XQBVqDsRTnwkMd8YnVw?authuser=0&hl=en&rclk=1,Fishing pond
"POINT (77.0960163 11.0021822)",Kannampalayam Lake,11.0021822,77.0960163,https://www.google.com/maps/place/Kannampalayam+Lake/data=!4m7!3m6!1s0x3ba85699665d2a51:0x9237ab5e061816ff!8m2!3d11.0021822!4d77.0960163!16s%2Fg%2F1w0sb98_!19sChIJUSpdZplWqDsR_xYYBl6rN5I?authuser=0&hl=en&rclk=1,Lake
"POINT (77.1847315 10.9937755)",Pool,10.9937755,77.1847315,https://www.google.com/maps/place/Pool/data=!4m7!3m6!1s0x3ba854b0edca0a4b:0xfc48e0aafdcf50e4!8m2!3d10.9937755!4d77.1847315!16s%2Fg%2F1thn3yw5!19sChIJSwrK7bBUqDsR5FDP_argSPw?authuser=0&hl=en&rclk=1,Lake
"POINT (77.2020546 11.0747724)",Samalapuram Lake,11.0747724,77.2020546,https://www.google.com/maps/place/Samalapuram+Lake/data=!4m7!3m6!1s0x3ba900043c7e4285:0xae6b3c2460790887!8m2!3d11.0747724!4d77.2020546!16s%2Fg%2F11c1vdx91y!19sChIJhUJ-PAQAqTsRhwh5YCQ8a64?authuser=0&hl=en&rclk=1,Swimming lake
"POINT (77.3577457 11.035994)",Allalapuram Kuttai,11.035994,77.3577457,https://www.google.com/maps/place/Allalapuram+Kuttai/data=!4m7!3m6!1s0x3ba9a860d32440e1:0xcf081767049ba469!8m2!3d11.035994!4d77.3577457!16s%2Fg%2F12vrm4q7v!19sChIJ4UAk02CoqTsRaaSbBGcXCM8?authuser=0&hl=en&rclk=1,Lake
"POINT (77.3880647 11.1336361)",Koolipalayam Reservoir,11.1336361,77.3880647,https://www.google.com/maps/place/Koolipalayam+Reservoir/data=!4m7!3m6!1s0x3ba9089b762f5f77:0xc6bf932da755c696!8m2!3d11.1336361!4d77.3880647!16s%2Fg%2F1tkd_d9w!19sChIJd18vdpsIqTsRlsZVpy2Tv8Y?authuser=0&hl=en&rclk=1,Reservoir
